id,date,speed,variant,rated,status,color,result,player_rating,rating_diff,opponent,opponent_rating,opening_eco,opening_name
demo0046,2026-06-18 06:00:00+00:00,bullet,standard,True,mate,black,win,1520,,KnightMare42,1556,D02,Queen's Pawn Game
demo0047,2026-06-18 15:00:00+00:00,bullet,standard,True,mate,black,loss,1509,,TowerDefense,1573,D02,Queen's Pawn Game
demo0048,2026-06-19 03:00:00+00:00,blitz,standard,True,mate,white,win,1513,,EnPassant99,1477,B90,Sicilian Defense: Najdorf Variation
demo0049,2026-06-19 13:00:00+00:00,blitz,standard,True,draw,white,draw,1512,,TowerDefense,1555,E60,King's Indian Defense
demo0050,2026-06-19 22:00:00+00:00,rapid,standard,True,draw,black,draw,1513,,KnightMare42,1558,E60,King's Indian Defense
demo0051,2026-06-20 06:00:00+00:00,blitz,standard,True,mate,white,loss,1501,,PawnStorm,1533,D02,Queen's Pawn Game
demo0052,2026-06-20 15:00:00+00:00,bullet,standard,True,mate,black,win,1510,,KnightMare42,1451,B90,Sicilian Defense: Najdorf Variation
demo0053,2026-06-20 22:00:00+00:00,blitz,standard,True,mate,white,loss,1500,,SilentBishop,1492,E60,King's Indian Defense
demo0054,2026-06-21 06:00:00+00:00,bullet,standard,True,mate,black,win,1504,,PawnStorm,1440,C60,Ruy Lopez
demo0055,2026-06-21 18:00:00+00:00,rapid,standard,True,mate,black,loss,1497,,SilentBishop,1472,A45,Indian Defense
demo0056,2026-06-22 03:00:00+00:00,bullet,standard,True,mate,black,loss,1491,,QueenSac,1554,B90,Sicilian Defense: Najdorf Variation
demo0057,2026-06-22 13:00:00+00:00,bullet,standard,True,mate,black,loss,1486,,KnightMare42,1448,E60,King's Indian Defense
demo0058,2026-06-22 18:00:00+00:00,bullet,standard,True,mate,black,win,1495,,PawnStorm,1461,B10,Caro-Kann Defense
demo0059,2026-06-23 03:00:00+00:00,blitz,standard,True,draw,white,draw,1493,,EnPassant99,1534,B01,Scandinavian Defense
